DEPT,RDEEP_1,RSHAL_1,RMICRO_1,DENB_1,CALI_1,NEUT_1,GR_1,SP_1,DTCOMP_1,PEF_1,DTSH_1
1526.286,7.4322,6.5476,1.3922,2.2424,12.0663,0.293,64.6108,-77.4375,106.2256,8.1997,185.7732
1526.4384,8.2691,7.2387,1.3423,2.214,12.0859,0.3148,63.7382,-77.3125,107.4763,7.8045,191.7462
1526.5908,8.2651,7.2728,1.1691,2.2136,12.0953,0.3134,63.354,-76.875,108.5904,7.7413,195.8965
1526.7432,7.4031,6.6131,1.526,2.2154,12.0911,0.3022,68.0255,-77,109.661,7.4946,194.0947
1526.8956,6.5845,5.948,1.1387,2.2591,12.1091,0.2697,71.9332,-77,110.0688,8.6102,201.1432
1527.048,6.0916,5.5436,1.562,2.3075,12.194,0.2833,77.3009,-76.875,110.4351,8.6532,199.7576
1527.2004,6.142,5.4702,1.9751,2.3251,12.2068,0.2866,72.9514,-76.625,110.4778,8.473,196.5043
1527.3528,6.6996,5.9273,1.3476,2.2689,12.0525,0.3037,65.0632,-76.1875,110.0179,8.3488,197.5664
1527.5052,7.6254,6.6568,1.5533,2.2271,12.0567,0.3012,60.0277,-76.25,109.8344,8.3782,195.7149
1527.6576,9.2202,7.9221,1.5281,2.2074,12.0525,0.2917,59.8907,-76.375,110.3632,8.8837,195.1873
1527.81,10.4358,8.9453,1.4678,2.1867,12.0567,0.2893,63.3241,-76.4375,109.7677,8.5293,196.0436
1527.9624,10.8251,9.2263,1.2365,2.1578,12.0551,0.3053,66.062,-76.25,108.6805,8.0936,195.7402
1528.1148,9.9391,8.5111,1.1613,2.1627,12.0577,0.3082,65.971,-76.5625,108.5095,7.7927,195.2181
1528.2672,8.4939,7.3809,1.4993,2.2051,12.0567,0.3151,66.7829,-76.9375,108.5475,8.0405,195.7149
1528.4196,7.5083,6.5887,1.8057,2.2612,12.0551,0.2942,63.5228,-76.375,108.0097,8.5704,193.6033
1528.572,7.139,6.21,2.0188,2.2917,12.0543,0.2919,64.6521,-76.125,107.5772,8.7759,192.7731
1528.7244,6.9522,6.0519,1.6421,2.2752,12.0551,0.2829,63.2803,-76.25,107.0035,8.5276,191.4503
1528.8768,6.7357,5.919,1.3558,2.2601,12.081,0.2869,65.0701,-76.1875,106.7711,9.1588,190.5832
1529.0292,6.4441,5.7421,2.1502,2.278,12.035,0.2737,66.4481,-75.9375,104.8689,8.8273,190.8594
1529.1816,6.1276,5.4762,1.4632,2.2982,12.0551,0.269,70.2509,-75.8125,105.9624,8.7766,190.7975
1529.334,5.9429,5.3337,1.7438,2.3111,12.0525,0.2501,71.1585,-75.625,104.8942,8.4863,190.2565
1529.4864,5.8789,5.2158,1.7253,2.3039,12.0567,0.2542,70.346,-75.875,104.2635,8.5962,186.7446
1529.6388,6.1549,5.4234,1.3952,2.2833,12.0551,0.244,69.2457,-76.4375,104.6849,8.4405,186.2639
1529.7912,6.7615,5.8876,1.4183,2.2725,12.0567,0.2637,67.9735,-76.4375,105.1349,8.469,184.4107
1529.9436,7.3789,6.2922,1.4113,2.2541,12.0758,0.265,65.508,-76.25,105.5632,8.2185,184.6122
1530.096,7.6006,6.3785,1.326,2.2285,12.0494,0.2831,65.9967,-76.5625,106.0132,8.3418,185.8931
1530.2484,7.0413,5.9077,1.1709,2.2046,12.0628,0.2866,68.3061,-76.5625,105.7705,8.3763,196.0172
1530.4008,6.3214,5.3571,1.1196,2.2035,12.0602,0.2925,72.8377,-76.5,103.4629,8.4639,185.1417
1530.5532,6.0866,5.1837,1.8441,2.2575,12.0663,0.2818,73.2304,-76.6875,102.2652,8.2077,184.6798
1530.7056,6.0941,5.1892,2.3699,2.3287,12.0962,0.2422,72.3995,-76.5625,100.8175,7.2288,178.0822
